case_id,input_kind,mutation,command_name,command,exit_code,stdout_nonempty,stderr_nonempty,output_file_created,output_file_nonempty,accepted,verdict,stdout_has_object_marker,output_file_has_object_marker,stderr_excerpt
pkcs8_der_bad_asn1_tag_pkey_noout,pkcs8_der,bad_asn1_tag,pkey_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pkcs8_der_bad_asn1_tag.der -noout,0,False,False,False,False,True,app_command_accepts_malformed_tail,False,False,
pkcs8_der_bad_asn1_tag_pkey_text_noout,pkcs8_der,bad_asn1_tag,pkey_text_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pkcs8_der_bad_asn1_tag.der -text -noout,0,True,False,False,False,True,app_command_accepts_malformed_tail,False,False,
pkcs8_der_bad_asn1_tag_pkey_pubout,pkcs8_der,bad_asn1_tag,pkey_pubout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pkcs8_der_bad_asn1_tag.der -pubout -out artifacts/triage/ossl_store_full_consumption/results/app_level_security_commands/outputs/pkey_pubout_bad_asn1_tag.pem,0,False,False,True,True,True,app_command_accepts_malformed_tail,False,True,
pkcs8_der_bad_asn1_tag_pkcs8_nocrypt_outform_pem,pkcs8_der,bad_asn1_tag,pkcs8_nocrypt_outform_pem,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkcs8 -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pkcs8_der_bad_asn1_tag.der -nocrypt -outform PEM -out artifacts/triage/ossl_store_full_consumption/results/app_level_security_commands/outputs/pkcs8_converted_bad_asn1_tag.pem,0,False,False,True,True,True,app_command_accepts_malformed_tail,False,True,
pkcs8_der_valid_null_then_malformed_seq_pkey_noout,pkcs8_der,valid_null_then_malformed_seq,pkey_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pkcs8_der_valid_null_then_malformed_seq.der -noout,0,False,False,False,False,True,app_command_accepts_malformed_tail,False,False,
pkcs8_der_valid_null_then_malformed_seq_pkey_text_noout,pkcs8_der,valid_null_then_malformed_seq,pkey_text_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pkcs8_der_valid_null_then_malformed_seq.der -text -noout,0,True,False,False,False,True,app_command_accepts_malformed_tail,False,False,
pkcs8_der_valid_null_then_malformed_seq_pkey_pubout,pkcs8_der,valid_null_then_malformed_seq,pkey_pubout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pkcs8_der_valid_null_then_malformed_seq.der -pubout -out artifacts/triage/ossl_store_full_consumption/results/app_level_security_commands/outputs/pkey_pubout_valid_null_then_malformed_seq.pem,0,False,False,True,True,True,app_command_accepts_malformed_tail,False,True,
pkcs8_der_valid_null_then_malformed_seq_pkcs8_nocrypt_outform_pem,pkcs8_der,valid_null_then_malformed_seq,pkcs8_nocrypt_outform_pem,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkcs8 -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pkcs8_der_valid_null_then_malformed_seq.der -nocrypt -outform PEM -out artifacts/triage/ossl_store_full_consumption/results/app_level_security_commands/outputs/pkcs8_converted_valid_null_then_malformed_seq.pem,0,False,False,True,True,True,app_command_accepts_malformed_tail,False,True,
pubkey_der_baseline_empty_pkey_pubin_noout,pubkey_der,baseline_empty,pkey_pubin_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_baseline_empty.der -noout,0,False,False,False,False,True,baseline_accepts_clean_object,False,False,
pubkey_der_baseline_empty_pkey_pubin_text_noout,pubkey_der,baseline_empty,pkey_pubin_text_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_baseline_empty.der -text -noout,0,True,False,False,False,True,baseline_accepts_clean_object,True,False,
pubkey_der_baseline_empty_pkey_pubin_pubout,pubkey_der,baseline_empty,pkey_pubin_pubout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_baseline_empty.der -pubout -out artifacts/triage/ossl_store_full_consumption/results/app_level_security_commands/outputs/pubkey_pubout_baseline_empty.pem,0,False,False,True,True,True,baseline_accepts_clean_object,False,True,
pubkey_der_malformed_partial_sequence_pkey_pubin_noout,pubkey_der,malformed_partial_sequence,pkey_pubin_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_malformed_partial_sequence.der -noout,0,False,False,False,False,True,app_command_accepts_malformed_tail,False,False,
pubkey_der_malformed_partial_sequence_pkey_pubin_text_noout,pubkey_der,malformed_partial_sequence,pkey_pubin_text_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_malformed_partial_sequence.der -text -noout,0,True,False,False,False,True,app_command_accepts_malformed_tail,True,False,
pubkey_der_malformed_partial_sequence_pkey_pubin_pubout,pubkey_der,malformed_partial_sequence,pkey_pubin_pubout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_malformed_partial_sequence.der -pubout -out artifacts/triage/ossl_store_full_consumption/results/app_level_security_commands/outputs/pubkey_pubout_malformed_partial_sequence.pem,0,False,False,True,True,True,app_command_accepts_malformed_tail,False,True,
pubkey_der_malformed_oversized_len_pkey_pubin_noout,pubkey_der,malformed_oversized_len,pkey_pubin_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_malformed_oversized_len.der -noout,0,False,False,False,False,True,app_command_accepts_malformed_tail,False,False,
pubkey_der_malformed_oversized_len_pkey_pubin_text_noout,pubkey_der,malformed_oversized_len,pkey_pubin_text_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_malformed_oversized_len.der -text -noout,0,True,False,False,False,True,app_command_accepts_malformed_tail,True,False,
pubkey_der_malformed_oversized_len_pkey_pubin_pubout,pubkey_der,malformed_oversized_len,pkey_pubin_pubout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_malformed_oversized_len.der -pubout -out artifacts/triage/ossl_store_full_consumption/results/app_level_security_commands/outputs/pubkey_pubout_malformed_oversized_len.pem,0,False,False,True,True,True,app_command_accepts_malformed_tail,False,True,
pubkey_der_malformed_indefinite_len_pkey_pubin_noout,pubkey_der,malformed_indefinite_len,pkey_pubin_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_malformed_indefinite_len.der -noout,0,False,False,False,False,True,app_command_accepts_malformed_tail,False,False,
pubkey_der_malformed_indefinite_len_pkey_pubin_text_noout,pubkey_der,malformed_indefinite_len,pkey_pubin_text_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_malformed_indefinite_len.der -text -noout,0,True,False,False,False,True,app_command_accepts_malformed_tail,True,False,
pubkey_der_malformed_indefinite_len_pkey_pubin_pubout,pubkey_der,malformed_indefinite_len,pkey_pubin_pubout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_malformed_indefinite_len.der -pubout -out artifacts/triage/ossl_store_full_consumption/results/app_level_security_commands/outputs/pubkey_pubout_malformed_indefinite_len.pem,0,False,False,True,True,True,app_command_accepts_malformed_tail,False,True,
pubkey_der_truncated_integer_pkey_pubin_noout,pubkey_der,truncated_integer,pkey_pubin_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_truncated_integer.der -noout,0,False,False,False,False,True,app_command_accepts_malformed_tail,False,False,
pubkey_der_truncated_integer_pkey_pubin_text_noout,pubkey_der,truncated_integer,pkey_pubin_text_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_truncated_integer.der -text -noout,0,True,False,False,False,True,app_command_accepts_malformed_tail,True,False,
